id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
11073,-58.37090179,-34.60581294,NUEVO BANCO DE SANTA FE S.A.,LINK,25 De Mayo 168,CABA,1,FALSE,FALSE,25 De Mayo,168,,San Nicolas,Comuna 1,1002,C1002ABD
11059,-58.37097578,-34.60508393,BANCO DE LA NACION ARGENTINA,LINK,25 De Mayo 230,CABA,1,FALSE,FALSE,25 De Mayo,230,,San Nicolas,Comuna 1,1002,C1002ABF
11033,-58.37097278,-34.60459191,BANCO DEL CHUBUT S.A.,LINK,25 De Mayo 267/73,CABA,1,FALSE,FALSE,25 De Mayo,267,,San Nicolas,Comuna 1,1002,C1002ABE
11069,-58.37098278,-34.60444991,BANCO DE SANTA CRUZ S.A.,LINK,25 De Mayo 279,CABA,1,FALSE,FALSE,25 De Mayo,279,,San Nicolas,Comuna 1,1002,C1002ABE
11046,-58.37099378,-34.60429591,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,25 De Mayo 294 esquina Sarmiento,CABA,1,FALSE,FALSE,25 De Mayo,294,,San Nicolas,Comuna 1,1002,C1002ABF
11020,-58.37112377,-34.60245686,BANCO DE FORMOSA S.A.,LINK,25 De Mayo 454 piso -,CABA,1,FALSE,FALSE,25 De Mayo,454,,San Nicolas,Comuna 1,1002,C1002ABJ
10883,-58.41919615,-34.65127274,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,CABA,3,FALSE,FALSE,Abraham Luppi,1090,,Nueva Pompeya,Comuna 4,1437,C1437FRD
11784,-58.41353123,-34.55644261,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,CABA,1,FALSE,FALSE,,0,,,,,
11697,-58.36529166,-34.62204234,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,CABA,2,FALSE,FALSE,Alicia M. De Justo,2036,,Puerto Madero,Comuna 1,1107,C1107AFP
11381,-58.38555644,-34.61103599,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,CABA,4,FALSE,FALSE,Alsina,1356,,Monserrat,Comuna 1,,
11396,-58.38748652,-34.61116298,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,CABA,1,FALSE,FALSE,Alsina,1502,,Monserrat,Comuna 1,,
11386,-58.37158584,-34.61007104,BANCO DE LA NACION ARGENTINA,LINK,Alsina 365,CABA,3,FALSE,FALSE,Alsina,365,,Monserrat,Comuna 1,1087,C1087AAC
11393,-58.37544801,-34.61041902,CABAL COOP. LTDA.,LINK,Alsina 637,CABA,2,FALSE,FALSE,Alsina,637,,Monserrat,Comuna 1,1087,C1087AAI
11206,-58.4385216,-34.6008155,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Araoz 265, entre Camargo y Luis M. Drago",CABA,1,FALSE,FALSE,Araoz,265,,Villa Crespo,Comuna 15,1414,C1414DPE
